S/N°,CHAPTER,P.O. N°,AUTH. N°,IMPUTATION,PHYSICAL UNIT DEMANDED,BENEFICIARY,QTY COM,AMOUNT,ENGAGE,LIQUIDATE,QTY SUPPLIED,PHY. %,FIN. %,SUM,AREA 1,AREA 2,TIME,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79,Column 80,Column 81,Column 82,Column 83,Column 84,Column 85,Column 86,Column 87,Column 88,Column 89,Column 90,Column 91,Column 92,Column 93,Column 94,Column 95,Column 96,Column 97,Column 98,Column 99,Column 100,Column 101,Column 102,Column 103,Column 104,Column 105,Column 106,Column 107,Column 108,Column 109,Column 110,Column 111,Column 112,Column 113,Column 114,Column 115,Column 116,Column 117,Column 118,Column 119,Column 120,Column 121,Column 122,Column 123,Column 124,Column 125,Column 126,Column 127,Column 128,Column 129,Column 130,Column 131,Column 132,Column 133,Column 134,Column 135,Column 136,Column 137,Column 138,Column 139,Column 140,Column 141,Column 142,Column 143,Column 144,Column 145,Column 146,Column 147,Column 148,Column 149,Column 150,Column 151,Column 152,Column 153,Column 154,Column 155,Column 156,Column 157,Column 158,Column 159,Column 160,Column 161,Column 162,Column 163,Column 164,Column 165,Column 166,Column 167,Column 168,Column 169,Column 170,Column 171,Column 172,Column 173,Column 174,Column 175,Column 176,Column 177,Column 178,Column 179,Column 180,Column 181,Column 182,Column 183,Column 184,Column 185,Column 186,Column 187,Column 188,Column 189,Column 190,Column 191,Column 192,Column 193,Column 194,Column 195,Column 196,Column 197,Column 198,Column 199,Column 200,Column 201,Column 202,Column 203,Column 204,Column 205,Column 206,Column 207,Column 208,Column 209,Column 210,Column 211,Column 212,Column 213,Column 214,Column 215,Column 216,Column 217,Column 218,Column 219,Column 220,Column 221,Column 222,Column 223,Column 224,Column 225,Column 226,Column 227,Column 228,Column 229,Column 230,Column 231,Column 232,Column 233,Column 234,Column 235,Column 236,Column 237,Column 238,Column 239,Column 240,Column 241,Column 242,Column 243,Column 244,Column 245,Column 246,Column 247,Column 248,Column 249,Column 250,Column 251,Column 252,Column 253,Column 254,Column 255,Column 256
50,CHAPTER 25 - SECONDARY EDUCATION,6582448,IL03748,25 451625A2222,CETIC BABA II CONSTRUCTION ATELIER,,1,2.5E7,2.5E7,2.5E7,1,100,100,2.5E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CHAPTER 25 - SECONDARY EDUCATION,7072589,IL03749,25 451625B  2222,GTC MUNDUM CONSTRUCTION CLASSES,,2,1.8E7,1.8E7,1.8E7,2,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CHAPTER 25 - SECONDARY EDUCATION,6735520,IL03750,25  451625C  2222,GHS AKUM CONSTRUCT SALLE CLASSES,,2,1.8E7,1.8E7,1.8E7,2,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CHAPTER 25 - SECONDARY EDUCATION,7049589,IL03752,25  451625A  2240,CETI AWING EQUIP SALLE PROF,,1,4000000,4000000,4000000,1,100,100,4.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CHAPTER 25 - SECONDARY EDUCATION,7103161,IL03753,25  451625B  2240,LB BAMENDANKWE,,1,350000,350000,350000,1,100,100,3.5E7,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CHAPTER 25 - SECONDARY EDUCATION,7131138,IL03754,25 451625  2243,GHTC ALABUKAM CONST BLOC SANITAIRE,,1,7500000,7500000,7500000,1,100,100,7.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CHAPTER 25 - SECONDARY EDUCATION,6880016,IL03755,25 451625A2243,GTC BABAII CONST BLOC SANITAIRE,,1,7500000,7500000,7500000,1,100,100,7.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CHAPTER 25 - SECONDARY EDUCATION,7049576,IL03756,25  451625  2270,CETIC AWING EQUIP ATEILIER,SAMBA CO.,1,1500000,1500000,1500000,1,100,100,1.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CHAPTER 25 - SECONDARY EDUCATION,7072545,IL03757,25  451625A2270,CETIC BAMENDANKWE EQUIP TAB BANCS,SAMBA CO.,60,1800000,1800000,1800000,60,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CHAPTER 25 - SECONDARY EDUCATION,7144451,IL03758,25 451625B  2270, L B NTAMDUNG EQUIP TABLE BANCS,,60,1800000,1800000,1800000,60,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CHAPTER 25 - SECONDARY EDUCATION,7103159,IL03759,25 451625C  2270,L B BAMENDANKWE EQUIP TABLE BANC,ETS SAMOUA,60,1800000,1800000,1800000,60,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CHAPTER 25 - SECONDARY EDUCATION,6736514,IL03760,25  451625D  2270,CES BILING MBATOU EQUIPMENT,SAMBA CO.,60,1800000,1800000,1800000,60,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CHAPTER 25 - SECONDARY EDUCATION,7072543,IL03762,25  451625F  2270,CETIC MENDANKWE EQUIP ATELIER MAçON,,1,1500000,1500000,1500000,1,100,100,1.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CHAPTER 25 - SECONDARY EDUCATION,6504310,IL03763,25  451625  2276,CETIC CHOMBA ACQUI MICRO-ORDINATEUR,SAMBA CO.,1,2000000,2000000,2000000,1,100,100,2.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CHAPTER 25 - SECONDARY EDUCATION,7072539,IL03764,25  451625A  2276,CETIC BAMENDANKWE ACQUI MICRO ORDI ,SAMBA CO.,1,2000000,2000000,2000000,1,100,100,2.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CHAPTER 25 - SECONDARY EDUCATION,6898670,IL03765,25  451625  2279, CETIC NFORYA EQUIP ATELIER ELECT ,SAMBA CO.,1,1500000,1500000,1500000,1,100,100,1.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CHAPTER 25 - SECONDARY EDUCATION,5662294,IL03766,25  451625A  2279,LT ALABUKAM EQUIP ATELIER METIER,SAMBA CO.,1,2000000,2000000,2000000,1,100,100,2.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CHAPTER 25 - SECONDARY EDUCATION,7072541,IL03767,25  451625B  2278,CETIC BAMENDANKWE EQUIP ATELIER MENUSERIE,ETS NDOFECAM,1,2000000,2000000,2000000,1,100,100,2.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CHAPTER 25 - SECONDARY EDUCATION,6504312,IL03768,25  451625C  2279,CETIC CHOMBA EQUIP ATELIER D ESF,SAMBA CO.,1,1500000,1500000,1500000,1,100,100,1.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CHAPTER 25 - SECONDARY EDUCATION,6478448,IL03776,25 450630  2261,LYCEE BAMENDA NKWE EQUIPEMENT BLOC ADM.,,1,1.8E7,1.8E7,1.8E7,1,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CHAPTER 25 - SECONDARY EDUCATION,6735569,IL04222,25 5416061  2260,CES OBANG RONEO TYPEUR,SAMBA CO.,1,1800000,1800000,1800000,1,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CHAPTER 25 - SECONDARY EDUCATION,7138451,IL04223,25 5416062  2270,CES MAMBU EQUIP TABLE BANCS,SAMBA CO.,60,1800000,1800000,1800000,60,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CHAPTER 25 - SECONDARY EDUCATION,7103161,IL04422,25  5516122  2240,CETIC BABA II EQUIP BUREAU DES PFOFS,ETS SAMOUA,1,350000,350000,350000,1,100,100,3.5E7,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CHAPTER 25 - SECONDARY EDUCATION,7138451,IL04423,25  5516121  2270,CETIC BABA II EQUIP TABLES BANCS,SAMBA CO.,1,1800000,1800000,1800000,1,100,100,1.8E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CHAPTER 25 - SECONDARY EDUCATION,6575894,IL04712,25  5616120  2240,GHS MANKON EQUIP BUREAU CHEF ,SAMBA CO.,1,2500000,2500000,2500000,1,100,100,2.5E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CHAPTER 25 - SECONDARY EDUCATION,7086351,IL04961,25  571608  2279,L T BAFUT EQUIP ATELIER FROID +CLIMATI,SAMBA CO.,1,2000000,2000000,2000000,1,100,100,2.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CHAPTER 25 - SECONDARY EDUCATION,7013497,IL04981,25  571657  2240,LT SANTA EQUIPMENT BUREAU CHEF,SAMBA CO.,1,3000000,3000000,3000000,1,100,100,3.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CHAPTER 25 - SECONDARY EDUCATION,7013495,IL04982,25  571657  2276,LT SANTA ACQUIS MICRO-ORDINATEUR,FONYAH,1,2000000,2000000,2000000,1,100,100,2.0E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CHAPTER 25 - SECONDARY EDUCATION,7086251,IL04983,25  571657  2279,LT SANTA EQUIP ATELIER ,ETS LEO,1,4400000,4400000,4400000,1,100,100,4.4E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CHAPTER 25 - SECONDARY EDUCATION,5833501,IL05331,25  661625  2222,GBSS BAWOCK PPTE CONST 2 SALLE CLASSES,,2,1.8E7,1.8E7,1.8E7,2,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CHAPTER 25 - SECONDARY EDUCATION,5864403,IL05332,25  661625A  2222,GTC MANKWI PPTE CONST 2 SALLE CLASSE,,2,1.8E7,1.8E7,1.8E7,2,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CHAPTER 25 - SECONDARY EDUCATION,5853201,IL05333,25 661625B  2222,GTC AWING PPTE CONSTRUC CLASSES,,2,1.8E7,1.8E7,1.8E7,2,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,CHAPTER 25 - SECONDARY EDUCATION,5969228,IL05334,25  661612C  2222,GTC CHOMBA CONSTUCT 2 CLASSES,,2,1.8E7,1.8E7,1.8E7,2,100,100,1.8E9,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,CHAPTER 25 - SECONDARY EDUCATION,7470708,IL05335,25 661625D  2222,GTC BDA NKWE CONSTRUCT 2 CLASSES,,2,1.8E7,1.8E7,7349730,,38,40.831833333333336,6.84E8,MEZAM,INVESTMENT BUDGET FOR FY2010 (NW REGION),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
